"feedback_id";"customer_id";"date_submitted";"feedback_text";"satisfaction_score";"contacted_agent";"referred_claim"
"FDB90294";"CUST10372";"2021-06-08";"Frustrated with repeated documentation requests.";3;"Yes";"Yes"
"FDB90295";"CUST10975";"2020-09-15";"The mobile app experience was intuitive.";5;"No";"Yes"
"FDB90296";"CUST12282";"2020-07-30";"Need more clarity on policy coverage.";3;"Yes";"Yes"
"FDB90297";"CUST11083";"2022-12-12";"Claim process could be faster.";3;"Yes";"Yes"
"FDB90298";"CUST11342";"2023-12-01";"Frustrated with repeated documentation requests.";2;"Yes";"No"
"FDB90299";"CUST11706";"2021-06-22";"I'm not happy with the premium charged.";3;"No";"Yes"
"FDB90300";"CUST11296";"2020-08-01";"Need more clarity on policy coverage.";2;"No";"Yes"
"FDB90301";"CUST10617";"2022-08-25";"Need more clarity on policy coverage.";2;"Yes";"No"
"FDB90302";"CUST11746";"2022-08-01";"Smooth experience with no issues.";5;"Yes";"No"
"FDB90303";"CUST11939";"2022-07-07";"Frustrated with repeated documentation requests.";1;"No";"No"
"FDB90304";"CUST11931";"2020-09-10";"Claim process could be faster.";2;"Yes";"No"
"FDB90305";"CUST10726";"2021-05-22";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90306";"CUST11210";"2020-07-30";"Frustrated with repeated documentation requests.";3;"Yes";"Yes"
"FDB90307";"CUST11438";"2021-07-07";"Need more clarity on policy coverage.";2;"Yes";"Yes"
"FDB90308";"CUST11260";"2023-04-21";"Frustrated with repeated documentation requests.";1;"No";"No"
"FDB90309";"CUST10809";"2023-10-20";"Very satisfied with the claim process.";5;"Yes";"No"
"FDB90310";"CUST11414";"2022-12-28";"Need more clarity on policy coverage.";3;"No";"Yes"
"FDB90311";"CUST11371";"2021-07-06";"I'm not happy with the premium charged.";2;"Yes";"Yes"
"FDB90312";"CUST10668";"2023-02-28";"I'm not happy with the premium charged.";2;"Yes";"No"
"FDB90313";"CUST10968";"2022-11-01";"I'm not happy with the premium charged.";1;"No";"No"
"FDB90314";"CUST12104";"2021-06-16";"Need more clarity on policy coverage.";2;"No";"Yes"
"FDB90315";"CUST12377";"2020-11-03";"Very satisfied with the claim process.";5;"Yes";"Yes"
"FDB90316";"CUST12060";"2023-04-24";"Claim process could be faster.";3;"No";"No"
"FDB90317";"CUST11881";"2020-05-21";"Excellent customer service support.";4;"No";"No"
"FDB90318";"CUST10419";"2023-03-18";"Excellent customer service support.";5;"Yes";"Yes"
"FDB90319";"CUST10837";"2023-10-10";"Frustrated with repeated documentation requests.";3;"Yes";"No"
"FDB90320";"CUST10726";"2023-04-06";"Very satisfied with the claim process.";5;"Yes";"No"
"FDB90321";"CUST10919";"2023-07-12";"The mobile app experience was intuitive.";5;"Yes";"Yes"
"FDB90322";"CUST10951";"2023-03-26";"Frustrated with repeated documentation requests.";3;"Yes";"Yes"
"FDB90323";"CUST10739";"2020-01-27";"The mobile app experience was intuitive.";3;"Yes";"Yes"
"FDB90324";"CUST10182";"2021-07-28";"Excellent customer service support.";4;"Yes";"Yes"
"FDB90325";"CUST10332";"2023-10-24";"The agent was helpful and explained everything.";5;"Yes";"No"
"FDB90326";"CUST12262";"2022-09-13";"Smooth experience with no issues.";5;"No";"No"
"FDB90327";"CUST12358";"2023-11-16";"Need more clarity on policy coverage.";2;"Yes";"Yes"
"FDB90328";"CUST10262";"2020-02-16";"Had to wait too long for claim approval.";2;"No";"No"
"FDB90329";"CUST11280";"2022-12-05";"Excellent customer service support.";5;"No";"Yes"
"FDB90330";"CUST11836";"2021-11-09";"Need more clarity on policy coverage.";3;"No";"No"
"FDB90331";"CUST11844";"2020-01-16";"Smooth experience with no issues.";4;"Yes";"Yes"
"FDB90332";"CUST10076";"2020-11-01";"The mobile app experience was intuitive.";5;"Yes";"No"
"FDB90333";"CUST11765";"2022-07-16";"I'm not happy with the premium charged.";3;"Yes";"No"
"FDB90334";"CUST10542";"2021-01-29";"Had to wait too long for claim approval.";2;"Yes";"Yes"
"FDB90335";"CUST10521";"2022-08-02";"I'm not happy with the premium charged.";3;"Yes";"No"
"FDB90336";"CUST10457";"2023-01-01";"Claim process could be faster.";2;"No";"Yes"
"FDB90337";"CUST11448";"2023-05-27";"Claim process could be faster.";3;"No";"No"
"FDB90338";"CUST11427";"2022-12-19";"Frustrated with repeated documentation requests.";1;"No";"Yes"
"FDB90339";"CUST10141";"2020-08-11";"Frustrated with repeated documentation requests.";2;"Yes";"Yes"
"FDB90340";"CUST12344";"2020-10-07";"Very satisfied with the claim process.";5;"Yes";"No"
"FDB90341";"CUST10819";"2021-11-06";"Claim process could be faster.";2;"No";"Yes"
"FDB90342";"CUST10345";"2020-11-03";"Had to wait too long for claim approval.";1;"No";"No"
"FDB90343";"CUST10516";"2020-12-11";"Very satisfied with the claim process.";4;"Yes";"Yes"
"FDB90344";"CUST12431";"2022-12-30";"I'm not happy with the premium charged.";2;"Yes";"Yes"
"FDB90345";"CUST11089";"2020-01-22";"Excellent customer service support.";5;"No";"No"
"FDB90346";"CUST10450";"2023-02-21";"Had to wait too long for claim approval.";1;"No";"No"
"FDB90347";"CUST11240";"2022-06-17";"Need more clarity on policy coverage.";1;"Yes";"Yes"
"FDB90348";"CUST11006";"2023-11-11";"Very satisfied with the claim process.";4;"Yes";"Yes"
"FDB90349";"CUST10714";"2023-10-27";"Smooth experience with no issues.";5;"Yes";"Yes"
"FDB90350";"CUST10160";"2020-07-25";"Very satisfied with the claim process.";5;"Yes";"No"
"FDB90351";"CUST12431";"2022-09-22";"Need more clarity on policy coverage.";3;"Yes";"No"
"FDB90352";"CUST10030";"2022-04-14";"The agent was helpful and explained everything.";4;"No";"Yes"
"FDB90353";"CUST10128";"2020-07-20";"Excellent customer service support.";5;"No";"Yes"
"FDB90354";"CUST12226";"2021-01-07";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90355";"CUST10150";"2023-10-05";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90356";"CUST12387";"2020-02-22";"Very satisfied with the claim process.";4;"Yes";"Yes"
"FDB90357";"CUST11171";"2020-11-19";"Had to wait too long for claim approval.";1;"Yes";"Yes"
"FDB90358";"CUST11862";"2023-01-11";"Claim process could be faster.";2;"No";"Yes"
"FDB90359";"CUST11987";"2022-10-10";"Smooth experience with no issues.";4;"Yes";"No"
"FDB90360";"CUST10045";"2020-10-08";"Very satisfied with the claim process.";4;"Yes";"No"
"FDB90361";"CUST10129";"2022-03-14";"Claim process could be faster.";2;"Yes";"Yes"
"FDB90362";"CUST11874";"2021-04-03";"The agent was helpful and explained everything.";5;"Yes";"Yes"
"FDB90363";"CUST10452";"2023-06-04";"Very satisfied with the claim process.";5;"No";"No"
"FDB90364";"CUST10748";"2021-08-23";"Had to wait too long for claim approval.";1;"Yes";"No"
"FDB90365";"CUST10968";"2023-11-09";"The agent was helpful and explained everything.";5;"Yes";"No"
"FDB90366";"CUST11028";"2022-09-21";"Claim process could be faster.";2;"No";"Yes"
"FDB90367";"CUST10336";"2023-05-02";"Very satisfied with the claim process.";4;"Yes";"Yes"
"FDB90368";"CUST11037";"2021-03-04";"Need more clarity on policy coverage.";2;"Yes";"No"
"FDB90369";"CUST10576";"2020-06-09";"Frustrated with repeated documentation requests.";1;"No";"Yes"
"FDB90370";"CUST10063";"2023-10-12";"Very satisfied with the claim process.";5;"Yes";"Yes"
"FDB90371";"CUST10444";"2023-09-22";"Excellent customer service support.";5;"No";"No"
"FDB90372";"CUST12338";"2023-07-13";"Had to wait too long for claim approval.";1;"Yes";"Yes"
"FDB90373";"CUST12020";"2021-01-25";"Had to wait too long for claim approval.";2;"No";"No"
"FDB90374";"CUST10609";"2023-06-03";"Had to wait too long for claim approval.";1;"No";"Yes"
"FDB90375";"CUST12254";"2023-12-10";"Need more clarity on policy coverage.";3;"Yes";"Yes"
"FDB90376";"CUST10210";"2021-12-19";"Need more clarity on policy coverage.";2;"No";"No"
"FDB90377";"CUST10176";"2022-05-21";"Claim process could be faster.";2;"No";"Yes"
"FDB90378";"CUST10763";"2023-06-16";"Had to wait too long for claim approval.";2;"No";"No"
"FDB90379";"CUST12246";"2021-04-12";"Very satisfied with the claim process.";4;"Yes";"No"
"FDB90380";"CUST11217";"2020-09-24";"Claim process could be faster.";3;"No";"Yes"
"FDB90381";"CUST10200";"2020-12-04";"I'm not happy with the premium charged.";3;"No";"No"
"FDB90382";"CUST10255";"2023-09-29";"Very satisfied with the claim process.";5;"Yes";"Yes"
"FDB90383";"CUST11198";"2023-01-27";"Excellent customer service support.";5;"No";"No"
"FDB90384";"CUST10952";"2020-05-04";"The agent was helpful and explained everything.";4;"Yes";"Yes"
"FDB90385";"CUST11713";"2021-12-06";"The mobile app experience was intuitive.";5;"No";"Yes"
"FDB90386";"CUST10228";"2020-10-16";"Smooth experience with no issues.";4;"No";"Yes"
"FDB90387";"CUST10005";"2022-11-30";"Excellent customer service support.";5;"No";"No"
"FDB90388";"CUST10136";"2021-10-15";"Very satisfied with the claim process.";4;"No";"Yes"
"FDB90389";"CUST11707";"2023-01-12";"Had to wait too long for claim approval.";2;"No";"Yes"
"FDB90390";"CUST11511";"2022-04-14";"Claim process could be faster.";2;"Yes";"No"
"FDB90391";"CUST10392";"2023-06-02";"Need more clarity on policy coverage.";3;"Yes";"No"
"FDB90392";"CUST11020";"2021-08-02";"The mobile app experience was intuitive.";3;"No";"Yes"
"FDB90393";"CUST11894";"2022-06-08";"Need more clarity on policy coverage.";3;"No";"No"
"FDB90394";"CUST12295";"2020-10-25";"The agent was helpful and explained everything.";5;"Yes";"Yes"
"FDB90395";"CUST11205";"2021-10-04";"Excellent customer service support.";4;"Yes";"Yes"
"FDB90396";"CUST12100";"2021-04-06";"Smooth experience with no issues.";5;"Yes";"No"
"FDB90397";"CUST12215";"2023-06-06";"I'm not happy with the premium charged.";1;"Yes";"No"
"FDB90398";"CUST11284";"2022-10-31";"Claim process could be faster.";3;"Yes";"Yes"
"FDB90399";"CUST11867";"2023-12-29";"The agent was helpful and explained everything.";4;"Yes";"Yes"
"FDB90400";"CUST11938";"2023-11-09";"The mobile app experience was intuitive.";4;"Yes";"Yes"
"FDB90401";"CUST12410";"2021-06-13";"Need more clarity on policy coverage.";2;"No";"Yes"
"FDB90402";"CUST11651";"2021-06-07";"I'm not happy with the premium charged.";2;"Yes";"No"
"FDB90403";"CUST10754";"2022-06-14";"The mobile app experience was intuitive.";4;"No";"No"
"FDB90404";"CUST11740";"2021-06-10";"The agent was helpful and explained everything.";5;"Yes";"No"
"FDB90405";"CUST11814";"2021-08-30";"Very satisfied with the claim process.";5;"No";"Yes"
"FDB90406";"CUST10678";"2021-07-27";"Very satisfied with the claim process.";5;"No";"No"
"FDB90407";"CUST10945";"2021-01-08";"Smooth experience with no issues.";4;"Yes";"Yes"
"FDB90408";"CUST10911";"2023-11-28";"The agent was helpful and explained everything.";5;"No";"No"
"FDB90409";"CUST12019";"2021-01-11";"Smooth experience with no issues.";4;"Yes";"Yes"
"FDB90410";"CUST11292";"2023-09-28";"Claim process could be faster.";3;"No";"No"
"FDB90411";"CUST10263";"2023-05-13";"Had to wait too long for claim approval.";2;"No";"Yes"
"FDB90412";"CUST11011";"2023-06-13";"Very satisfied with the claim process.";5;"No";"No"
"FDB90413";"CUST10291";"2022-06-23";"Very satisfied with the claim process.";5;"No";"No"
"FDB90414";"CUST11490";"2021-02-07";"The agent was helpful and explained everything.";5;"Yes";"Yes"
"FDB90415";"CUST12236";"2023-02-28";"Very satisfied with the claim process.";5;"Yes";"No"
"FDB90416";"CUST11560";"2020-08-02";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90417";"CUST11618";"2021-05-16";"Excellent customer service support.";4;"Yes";"Yes"
"FDB90418";"CUST11795";"2022-01-26";"Excellent customer service support.";5;"No";"No"
"FDB90419";"CUST10021";"2022-05-22";"I'm not happy with the premium charged.";3;"Yes";"Yes"
"FDB90420";"CUST12391";"2023-10-22";"Very satisfied with the claim process.";5;"Yes";"Yes"
"FDB90421";"CUST10929";"2020-03-24";"Need more clarity on policy coverage.";3;"Yes";"No"
"FDB90422";"CUST10420";"2020-01-27";"Excellent customer service support.";5;"No";"No"
"FDB90423";"CUST11277";"2022-04-06";"Need more clarity on policy coverage.";3;"No";"Yes"
"FDB90424";"CUST11373";"2022-06-26";"Smooth experience with no issues.";5;"Yes";"No"
"FDB90425";"CUST11190";"2023-11-14";"Claim process could be faster.";2;"Yes";"No"
"FDB90426";"CUST10693";"2022-08-29";"Had to wait too long for claim approval.";2;"No";"No"
"FDB90427";"CUST10181";"2020-09-07";"The agent was helpful and explained everything.";5;"No";"No"
"FDB90428";"CUST11603";"2021-10-08";"Excellent customer service support.";5;"No";"No"
"FDB90429";"CUST10460";"2022-03-24";"Smooth experience with no issues.";4;"Yes";"Yes"
"FDB90430";"CUST11826";"2021-11-27";"Excellent customer service support.";5;"No";"Yes"
"FDB90431";"CUST10102";"2020-06-21";"Frustrated with repeated documentation requests.";1;"Yes";"No"
"FDB90432";"CUST12402";"2022-07-30";"Claim process could be faster.";3;"No";"Yes"
"FDB90433";"CUST11053";"2021-07-28";"Claim process could be faster.";2;"No";"Yes"
"FDB90434";"CUST12472";"2021-08-03";"I'm not happy with the premium charged.";2;"Yes";"No"
"FDB90435";"CUST10288";"2022-10-27";"Claim process could be faster.";2;"No";"Yes"
"FDB90436";"CUST12457";"2021-01-15";"Need more clarity on policy coverage.";2;"Yes";"No"
"FDB90437";"CUST10461";"2022-06-28";"Claim process could be faster.";3;"No";"No"
"FDB90438";"CUST11001";"2021-03-17";"The agent was helpful and explained everything.";5;"Yes";"Yes"
"FDB90439";"CUST11528";"2020-08-25";"Excellent customer service support.";4;"Yes";"No"
"FDB90440";"CUST10802";"2022-09-05";"The mobile app experience was intuitive.";4;"No";"Yes"
"FDB90441";"CUST10521";"2021-08-02";"Need more clarity on policy coverage.";1;"No";"Yes"
"FDB90442";"CUST11712";"2023-01-26";"I'm not happy with the premium charged.";2;"Yes";"No"
"FDB90443";"CUST10806";"2023-06-05";"Need more clarity on policy coverage.";2;"Yes";"No"
"FDB90444";"CUST10938";"2022-02-21";"The agent was helpful and explained everything.";5;"No";"No"
"FDB90445";"CUST10150";"2022-12-07";"Excellent customer service support.";4;"No";"No"
"FDB90446";"CUST12279";"2022-05-28";"Excellent customer service support.";5;"Yes";"Yes"
"FDB90447";"CUST11412";"2023-09-16";"Excellent customer service support.";4;"Yes";"No"
"FDB90448";"CUST12139";"2022-04-08";"Had to wait too long for claim approval.";2;"Yes";"Yes"
"FDB90449";"CUST11649";"2023-06-27";"Frustrated with repeated documentation requests.";1;"Yes";"Yes"
"FDB90450";"CUST10368";"2022-04-19";"Frustrated with repeated documentation requests.";1;"No";"No"
"FDB90451";"CUST10928";"2022-07-25";"Excellent customer service support.";5;"Yes";"Yes"
"FDB90452";"CUST10309";"2022-09-27";"Excellent customer service support.";4;"Yes";"No"
"FDB90453";"CUST12236";"2023-09-26";"Frustrated with repeated documentation requests.";1;"Yes";"No"
"FDB90454";"CUST10665";"2022-07-02";"Need more clarity on policy coverage.";3;"No";"Yes"
"FDB90455";"CUST12057";"2023-12-01";"Smooth experience with no issues.";5;"No";"No"
"FDB90456";"CUST10538";"2022-08-19";"Need more clarity on policy coverage.";3;"Yes";"No"
"FDB90457";"CUST11456";"2020-11-16";"Smooth experience with no issues.";4;"Yes";"No"
"FDB90458";"CUST10285";"2021-02-04";"The agent was helpful and explained everything.";4;"No";"No"
"FDB90459";"CUST11762";"2022-07-07";"Need more clarity on policy coverage.";3;"Yes";"No"
"FDB90460";"CUST10813";"2022-07-21";"Smooth experience with no issues.";4;"No";"No"
"FDB90461";"CUST11323";"2021-01-11";"The mobile app experience was intuitive.";5;"No";"Yes"
"FDB90462";"CUST10813";"2020-02-22";"Smooth experience with no issues.";4;"No";"No"
"FDB90463";"CUST11113";"2023-02-24";"The mobile app experience was intuitive.";3;"Yes";"Yes"
"FDB90464";"CUST10313";"2020-02-04";"The mobile app experience was intuitive.";5;"No";"Yes"
"FDB90465";"CUST10459";"2021-05-04";"I'm not happy with the premium charged.";3;"Yes";"No"
"FDB90466";"CUST10711";"2022-09-16";"Excellent customer service support.";5;"Yes";"No"
"FDB90467";"CUST10238";"2023-08-18";"I'm not happy with the premium charged.";1;"Yes";"No"
"FDB90468";"CUST10546";"2023-01-17";"The agent was helpful and explained everything.";4;"No";"Yes"
"FDB90469";"CUST11004";"2023-11-13";"Excellent customer service support.";5;"Yes";"No"
"FDB90470";"CUST10840";"2022-05-03";"Claim process could be faster.";3;"Yes";"Yes"
"FDB90471";"CUST10328";"2020-01-28";"Very satisfied with the claim process.";4;"No";"No"
"FDB90472";"CUST12282";"2021-03-12";"The mobile app experience was intuitive.";4;"Yes";"No"
"FDB90473";"CUST11281";"2021-07-02";"Very satisfied with the claim process.";5;"Yes";"No"
"FDB90474";"CUST11296";"2022-04-11";"The agent was helpful and explained everything.";5;"Yes";"Yes"
"FDB90475";"CUST11275";"2021-02-15";"Very satisfied with the claim process.";5;"No";"No"
"FDB90476";"CUST11119";"2021-01-31";"The mobile app experience was intuitive.";4;"No";"Yes"
"FDB90477";"CUST10795";"2022-11-20";"Very satisfied with the claim process.";5;"Yes";"Yes"
"FDB90478";"CUST11026";"2022-09-06";"Need more clarity on policy coverage.";3;"No";"No"
"FDB90479";"CUST10851";"2023-12-21";"Need more clarity on policy coverage.";3;"No";"Yes"
"FDB90480";"CUST10521";"2023-04-23";"Had to wait too long for claim approval.";2;"Yes";"No"
"FDB90481";"CUST12272";"2023-01-07";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90482";"CUST10004";"2021-11-23";"Claim process could be faster.";2;"No";"No"
"FDB90483";"CUST11605";"2023-01-13";"Smooth experience with no issues.";5;"Yes";"No"
"FDB90484";"CUST10091";"2023-08-28";"Frustrated with repeated documentation requests.";1;"Yes";"Yes"
"FDB90485";"CUST11360";"2020-09-27";"Claim process could be faster.";3;"No";"Yes"
"FDB90486";"CUST10746";"2023-10-23";"Smooth experience with no issues.";5;"No";"Yes"
"FDB90487";"CUST10879";"2023-08-03";"Smooth experience with no issues.";5;"No";"No"
"FDB90488";"CUST12110";"2021-03-14";"I'm not happy with the premium charged.";2;"Yes";"No"
"FDB90489";"CUST12133";"2022-11-24";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90490";"CUST10342";"2023-06-18";"I'm not happy with the premium charged.";2;"No";"Yes"
"FDB90491";"CUST10706";"2021-05-11";"The agent was helpful and explained everything.";5;"Yes";"Yes"
"FDB90492";"CUST10661";"2022-03-21";"The mobile app experience was intuitive.";4;"Yes";"No"
"FDB90493";"CUST11497";"2022-07-05";"Claim process could be faster.";3;"Yes";"Yes"
"FDB90494";"CUST10459";"2023-10-17";"The agent was helpful and explained everything.";5;"Yes";"Yes"
"FDB90495";"CUST11725";"2020-09-01";"Smooth experience with no issues.";4;"No";"Yes"
"FDB90496";"CUST11561";"2021-02-15";"Claim process could be faster.";2;"No";"No"
"FDB90497";"CUST12124";"2021-05-03";"Had to wait too long for claim approval.";1;"No";"Yes"
"FDB90498";"CUST11001";"2022-07-04";"I'm not happy with the premium charged.";2;"Yes";"Yes"
"FDB90499";"CUST11148";"2022-09-25";"Very satisfied with the claim process.";5;"No";"Yes"
"FDB90500";"CUST11449";"2023-08-03";"The agent was helpful and explained everything.";4;"No";"Yes"
"FDB90501";"CUST11609";"2022-12-22";"Excellent customer service support.";4;"No";"Yes"
"FDB90502";"CUST10097";"2020-03-09";"The mobile app experience was intuitive.";4;"Yes";"No"
"FDB90503";"CUST10264";"2021-09-26";"Need more clarity on policy coverage.";2;"No";"Yes"
"FDB90504";"CUST12035";"2022-08-21";"The agent was helpful and explained everything.";4;"No";"Yes"
"FDB90505";"CUST11913";"2020-01-31";"Frustrated with repeated documentation requests.";1;"No";"Yes"
"FDB90506";"CUST11314";"2022-06-12";"The mobile app experience was intuitive.";5;"No";"No"
"FDB90507";"CUST11065";"2023-08-12";"Smooth experience with no issues.";4;"No";"Yes"
"FDB90508";"CUST10415";"2023-09-03";"Smooth experience with no issues.";5;"No";"Yes"
"FDB90509";"CUST10655";"2022-01-12";"Excellent customer service support.";4;"No";"Yes"
"FDB90510";"CUST12312";"2020-02-08";"I'm not happy with the premium charged.";2;"No";"Yes"
"FDB90511";"CUST10969";"2021-05-11";"Very satisfied with the claim process.";4;"Yes";"Yes"
"FDB90512";"CUST11235";"2021-01-23";"The agent was helpful and explained everything.";4;"Yes";"Yes"
"FDB90513";"CUST10400";"2020-11-22";"Excellent customer service support.";5;"No";"No"
"FDB90514";"CUST10749";"2020-03-21";"Frustrated with repeated documentation requests.";1;"Yes";"No"
"FDB90515";"CUST10986";"2021-02-08";"Claim process could be faster.";2;"No";"Yes"
"FDB90516";"CUST10427";"2021-07-10";"I'm not happy with the premium charged.";3;"Yes";"Yes"
"FDB90517";"CUST11070";"2022-11-05";"Excellent customer service support.";4;"No";"Yes"
"FDB90518";"CUST10917";"2021-08-20";"Smooth experience with no issues.";4;"No";"Yes"
"FDB90519";"CUST11870";"2022-12-12";"The agent was helpful and explained everything.";5;"Yes";"Yes"
"FDB90520";"CUST11643";"2021-10-01";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90521";"CUST11859";"2021-12-09";"Frustrated with repeated documentation requests.";3;"No";"Yes"
"FDB90522";"CUST11644";"2023-10-27";"I'm not happy with the premium charged.";3;"No";"No"
"FDB90523";"CUST10685";"2022-05-27";"Excellent customer service support.";5;"No";"Yes"
"FDB90524";"CUST11835";"2020-04-21";"Claim process could be faster.";2;"Yes";"No"
"FDB90525";"CUST12203";"2020-01-30";"I'm not happy with the premium charged.";2;"Yes";"No"
"FDB90526";"CUST11291";"2022-06-04";"Frustrated with repeated documentation requests.";2;"No";"Yes"
"FDB90527";"CUST12472";"2021-11-30";"The mobile app experience was intuitive.";5;"Yes";"Yes"
"FDB90528";"CUST10947";"2022-07-12";"Need more clarity on policy coverage.";3;"Yes";"No"
"FDB90529";"CUST12065";"2021-12-14";"Smooth experience with no issues.";5;"No";"Yes"
"FDB90530";"CUST10387";"2022-01-22";"The mobile app experience was intuitive.";3;"No";"No"
"FDB90531";"CUST11986";"2020-04-06";"Had to wait too long for claim approval.";1;"No";"Yes"
"FDB90532";"CUST11784";"2021-12-14";"The mobile app experience was intuitive.";3;"No";"No"
"FDB90533";"CUST10769";"2022-11-12";"Claim process could be faster.";3;"Yes";"Yes"
"FDB90534";"CUST11894";"2020-04-11";"The agent was helpful and explained everything.";5;"Yes";"No"
"FDB90535";"CUST11144";"2021-03-26";"Need more clarity on policy coverage.";3;"Yes";"No"
"FDB90536";"CUST11522";"2022-05-17";"Excellent customer service support.";5;"Yes";"Yes"
"FDB90537";"CUST10837";"2022-09-08";"Smooth experience with no issues.";4;"Yes";"Yes"
"FDB90538";"CUST10559";"2021-11-18";"Claim process could be faster.";3;"No";"No"
"FDB90539";"CUST12265";"2021-03-18";"I'm not happy with the premium charged.";3;"Yes";"No"
"FDB90540";"CUST10515";"2021-04-18";"I'm not happy with the premium charged.";2;"No";"No"
"FDB90541";"CUST11108";"2022-10-11";"The agent was helpful and explained everything.";5;"Yes";"No"
"FDB90542";"CUST11056";"2023-09-24";"Frustrated with repeated documentation requests.";3;"Yes";"No"
"FDB90543";"CUST10844";"2021-12-13";"Smooth experience with no issues.";5;"Yes";"Yes"
"FDB90544";"CUST11461";"2021-01-16";"Need more clarity on policy coverage.";3;"No";"Yes"
"FDB90545";"CUST11498";"2023-02-17";"Smooth experience with no issues.";4;"No";"No"
"FDB90546";"CUST11187";"2020-12-20";"Need more clarity on policy coverage.";3;"Yes";"Yes"
"FDB90547";"CUST10704";"2021-12-10";"The agent was helpful and explained everything.";4;"No";"No"
"FDB90548";"CUST10191";"2023-05-16";"The mobile app experience was intuitive.";4;"No";"No"
"FDB90549";"CUST11819";"2020-06-18";"The agent was helpful and explained everything.";5;"No";"No"
"FDB90550";"CUST10724";"2021-06-16";"Frustrated with repeated documentation requests.";1;"Yes";"No"
"FDB90551";"CUST11702";"2022-07-15";"The mobile app experience was intuitive.";5;"No";"Yes"
"FDB90552";"CUST11764";"2022-04-01";"Very satisfied with the claim process.";5;"No";"Yes"
"FDB90553";"CUST10282";"2020-12-31";"Had to wait too long for claim approval.";2;"No";"No"
"FDB90554";"CUST10957";"2021-01-04";"I'm not happy with the premium charged.";1;"No";"No"
"FDB90555";"CUST10585";"2022-04-28";"The mobile app experience was intuitive.";5;"No";"Yes"
"FDB90556";"CUST11274";"2023-02-03";"Need more clarity on policy coverage.";2;"No";"No"
"FDB90557";"CUST10802";"2021-03-13";"Excellent customer service support.";5;"No";"Yes"
"FDB90558";"CUST11829";"2020-07-16";"I'm not happy with the premium charged.";1;"Yes";"Yes"
"FDB90559";"CUST10302";"2023-02-24";"Smooth experience with no issues.";5;"No";"Yes"
"FDB90560";"CUST12105";"2022-09-15";"Need more clarity on policy coverage.";2;"No";"No"
"FDB90561";"CUST12109";"2020-05-15";"The agent was helpful and explained everything.";5;"No";"Yes"
"FDB90562";"CUST10587";"2022-05-08";"Had to wait too long for claim approval.";2;"Yes";"Yes"
"FDB90563";"CUST11715";"2021-03-25";"The mobile app experience was intuitive.";3;"No";"Yes"
"FDB90564";"CUST10296";"2023-04-27";"Very satisfied with the claim process.";5;"No";"Yes"
"FDB90565";"CUST11231";"2021-04-07";"Had to wait too long for claim approval.";1;"Yes";"No"
"FDB90566";"CUST10314";"2021-05-17";"Frustrated with repeated documentation requests.";3;"Yes";"No"
"FDB90567";"CUST11333";"2021-07-12";"Had to wait too long for claim approval.";1;"Yes";"No"
"FDB90568";"CUST10910";"2023-12-31";"Need more clarity on policy coverage.";3;"Yes";"Yes"
"FDB90569";"CUST11757";"2021-12-05";"Excellent customer service support.";4;"No";"No"
"FDB90570";"CUST10157";"2020-05-24";"The agent was helpful and explained everything.";5;"Yes";"No"
"FDB90571";"CUST11953";"2022-08-11";"Frustrated with repeated documentation requests.";2;"Yes";"No"
"FDB90572";"CUST12355";"2023-11-09";"I'm not happy with the premium charged.";1;"No";"Yes"
"FDB90573";"CUST10736";"2023-05-01";"The mobile app experience was intuitive.";3;"No";"Yes"
"FDB90574";"CUST11263";"2022-03-18";"Frustrated with repeated documentation requests.";3;"Yes";"Yes"
"FDB90575";"CUST10933";"2023-03-21";"The mobile app experience was intuitive.";5;"Yes";"Yes"
"FDB90576";"CUST10710";"2023-11-06";"The mobile app experience was intuitive.";3;"No";"No"
"FDB90577";"CUST12086";"2022-06-07";"Very satisfied with the claim process.";4;"Yes";"Yes"
"FDB90578";"CUST10607";"2023-02-11";"Need more clarity on policy coverage.";3;"No";"No"
"FDB90579";"CUST12421";"2023-08-15";"I'm not happy with the premium charged.";2;"No";"Yes"
"FDB90580";"CUST10327";"2023-01-28";"The mobile app experience was intuitive.";4;"No";"Yes"
"FDB90581";"CUST11676";"2023-06-05";"Very satisfied with the claim process.";5;"No";"No"
"FDB90582";"CUST10414";"2022-10-28";"Claim process could be faster.";2;"No";"No"
"FDB90583";"CUST12357";"2021-11-25";"Frustrated with repeated documentation requests.";3;"No";"No"
"FDB90584";"CUST12373";"2022-12-02";"Need more clarity on policy coverage.";1;"No";"No"
"FDB90585";"CUST10538";"2020-06-05";"The mobile app experience was intuitive.";5;"No";"No"
"FDB90586";"CUST11731";"2020-09-23";"I'm not happy with the premium charged.";3;"No";"Yes"
"FDB90587";"CUST11314";"2021-02-19";"I'm not happy with the premium charged.";3;"No";"Yes"
"FDB90588";"CUST10173";"2022-03-20";"I'm not happy with the premium charged.";1;"No";"Yes"
"FDB90589";"CUST11255";"2023-05-15";"The mobile app experience was intuitive.";3;"No";"No"
